id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
96,2017-05-22,700 block of E. Harris,San Angelo,NA,Texas,0,1,N/A,San Angelo,NA,NA,San Angelo,76901,Tom Green County,NA,NA,NA,NA,0.33,place,TX,31.44451,-100.533397,48,48451,4864472,001704,2002,2,484510017042002
97,2017-05-14,9230 Saint Lo,Houston,NA,Texas,0,1,N/A,Houston,9230,Saint Lo Rd,Houston,77033,Harris County,294,86,34070,5265,1,rooftop,TX,29.648892,-95.341726,48,48201,4835000,331800,2002,2,482013318002002
98,2017-05-12,1601 W 11th Place,Big Spring,NA,Texas,1,0,N/A,Big Spring,1601,W 11th Pl,Big Spring,79720,Howard County,470,103,43611,27088,1,rooftop,TX,32.237175,-101.491977,48,48227,4808236,950400,2001,2,482279504002001
99,2017-05-07,N/A,Palestine,NA,Texas,0,1,N/A,Palestine,NA,NA,Palestine,75801,Anderson County,NA,NA,NA,NA,1,place,TX,31.73452,-95.531381,48,48001,4854708,950902,1071,1,480019509021071
100,2017-05-05,800 block of Upton St,San Angelo,NA,Texas,0,1,N/A,San Angelo,NA,NA,San Angelo,76901,Tom Green County,NA,NA,NA,NA,0.33,place,TX,31.44451,-100.533397,48,48451,4864472,001704,2002,2,484510017042002
101,2017-04-28,2200 block of S Indiana,Brownsville,NA,Texas,0,1,N/A,Brownsville,NA,NA,Brownsville,78520,Cameron County,NA,NA,NA,NA,0.33,place,TX,25.963264,-97.550453,48,48061,4810768,012507,1021,1,480610125071021
102,2017-04-25,71st St and Utica Ave,Lubbock,NA,Texas,0,1,N/A,Lubbock,NA,71st St,Lubbock,79424,Lubbock County,NA,NA,NA,NA,1,intersection,TX,33.52899,-101.913719,48,48303,4845000,001804,1009,1,483030018041009
103,2017-04-19,1200 W 8th St,Freeport,NA,Texas,1,0,N/A,Freeport,1200,W 8th St,Freeport,77541,Brazoria County,450,170,63668,6340,1,range_interpolation,TX,28.949204,-95.364595,48,48039,4827420,664400,6032,6,480396644006032
104,2017-04-13,21323 Finbury Oaks Lane,Katy,NA,Texas,1,0,N/A,Katy,21323,Finbury Oaks Ln,Katy,77449,Harris County,2471,73,71990,8851,1,rooftop,TX,29.811219,-95.741719,48,48201,4838476,542302,1020,1,482015423021020
105,2017-04-02,1000 block of Vaky St,Corpus Christi,NA,Texas,1,0,N/A,Corpus Christi,NA,NA,Corpus Christi,78401,Nueces County,NA,NA,NA,NA,0.33,place,TX,27.797802,-97.399067,48,48355,4817000,006400,2102,2,483550064002102
